
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.05
T[K]                          758.355             2241.646
P[atm]                        2.52000             2.52000
rho[kg/m3]                    1.05236             0.32827
MW[kg/kmol]                   25.98691            23.96171
Phi[-]                        0.00000             1.14199
H[J/kg]                       1.640819e+05        2.327235e+04
U[J/kg]                       -7.855229e+04       -7.545554e+05
Conv.(%) N2                   0.000000e+00        -2.011474e+01
Conv.(%) O2                   0.000000e+00        9.993015e+01
Total species (kmol/s)        6.242589e-04        6.770201e-04
Element(kmol/s) H             4.537467e-04        4.537467e-04
Element(kmol/s) O             1.986642e-04        1.986642e-04
Element(kmol/s) N             8.986046e-04        8.986046e-04
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            6.452873e-01        7.750852e-01
HE                            0.000000e+00        3.268849e-31
H2                            7.462877e-75        3.579929e-03
H                             1.740096e-40        3.540006e-05
O2                            1.959264e-01        1.368623e-04
O                             2.326224e-23        8.060614e-06
H2O                           1.004418e-90        2.189482e-01
OH                            9.866315e-40        6.738995e-04
H2O2                          9.210896e-99        1.385529e-08
HO2                           3.946525e-39        6.241429e-08
NO                            4.958543e-37        1.307812e-03
N2O                           2.718543e-23        8.896138e-06
NO2                           9.035931e-47        5.295847e-08
HNO                           7.870460e-62        9.352432e-07
HNO2                          3.722486e-77        1.582422e-10
HONO                          1.459940e-74        1.332553e-08
HONO2                         1.477822e-83        7.814364e-14
N2H2                          1.835731e-114       3.453883e-08
H2NN                          1.344401e-93        1.457053e-10
NH2OH                         4.674356e-105       3.131092e-09
HNOH                          4.072799e-173       4.605393e-09
NH3                           1.587863e-01        1.957019e-04
N2H4                          2.874337e-92        3.773941e-11
N                             6.497625e-38        1.359148e-06
NO3                           3.256802e-47        2.179709e-15
NH                            3.190727e-60        3.114996e-06
NNH                           4.440134e-45        4.441798e-09
NH2                           5.990529e-70        1.448937e-05
H2NO                          2.135319e-167       1.539204e-08
N2H3                          1.281818e-99        1.598148e-10
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            5.985944e-01        6.629674e-01
HE                            0.000000e+00        1.956713e-30
H2                            9.619896e-74        4.255021e-02
H                             4.486084e-39        8.415138e-04
O2                            1.591200e-01        1.024894e-04
O                             3.778448e-23        1.207239e-05
H2O                           1.448888e-90        2.912225e-01
OH                            1.507585e-39        9.494788e-04
H2O2                          7.037183e-99        9.760581e-09
HO2                           3.107253e-39        4.531156e-08
NO                            4.294382e-37        1.044372e-03
N2O                           1.605129e-23        4.843267e-06
NO2                           5.104139e-47        2.758343e-08
HNO                           6.594730e-62        7.225778e-07
HNO2                          2.057642e-77        8.065332e-11
HONO                          8.069966e-75        6.791792e-09
HONO2                         6.094716e-84        2.971585e-14
N2H2                          1.588578e-114       2.755943e-08
H2NN                          1.163397e-93        1.162620e-10
NH2OH                         3.677629e-105       2.271460e-09
HNOH                          3.305211e-173       3.446165e-09
NH3                           2.422855e-01        2.753422e-04
N2H4                          2.330872e-92        2.821884e-11
N                             1.205492e-37        2.325088e-06
NO3                           1.364980e-47        8.423578e-16
NH                            5.522288e-60        4.971072e-06
NNH                           3.975790e-45        3.667324e-09
NH2                           9.715743e-70        2.166823e-05
H2NO                          1.732882e-167       1.151770e-08
N2H3                          1.073216e-99        1.233790e-10
-----------------------------------------------------------------------------
