
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.133747
Length[m]                     0                   4
T[K]                          1139.835            1186.186
P[atm]                        2.52000             2.52000
V[m3]                         28.83036            29.90811
rho[kg/m3]                    0.72932             0.72932
MW[kg/kmol]                   28.08121            28.17007
Phi[-]                        0.13068             0.13068
H[J/kg]                       5.900301e+05        5.899985e+05
U[J/kg]                       2.525406e+05        2.398928e+05
E[J/kg]                       5.904457e+05        5.904457e+05
Conv.(%) N2                   0.000e+00           -2.787e-04
Conv.(%) HE                   0.000e+00           1.000e+02
Conv.(%) H2                   0.000e+00           1.000e+02
Conv.(%) H                    0.000e+00           1.000e+02
Conv.(%) O2                   0.000e+00           1.904e+00
Conv.(%) O                    0.000e+00           9.970e+01
Conv.(%) H2O                  0.000e+00           -1.507e+01
Conv.(%) OH                   0.000e+00           9.883e+01
Conv.(%) H2O2                 0.000e+00           5.039e+01
Conv.(%) HO2                  0.000e+00           -2.050e+02
Conv.(%) NO                   0.000e+00           -1.539e+01
Conv.(%) N2O                  0.000e+00           -4.519e+02
Conv.(%) NO2                  0.000e+00           -2.522e+05
Conv.(%) HNO                  0.000e+00           1.000e+02
Conv.(%) HNO2                 0.000e+00           -7.252e+02
Conv.(%) HONO                 0.000e+00           -3.099e+03
Conv.(%) HONO2                0.000e+00           -5.836e+06
Conv.(%) N2H2                 0.000e+00           1.000e+02
Conv.(%) H2NN                 0.000e+00           1.000e+02
Conv.(%) NH2OH                0.000e+00           1.000e+02
Conv.(%) HNOH                 0.000e+00           1.000e+02
Conv.(%) NH3                  0.000e+00           1.000e+02
Conv.(%) N2H4                 0.000e+00           1.000e+02
Conv.(%) N                    0.000e+00           1.000e+02
Conv.(%) NO3                  0.000e+00           -3.350e+06
Conv.(%) NH                   0.000e+00           1.000e+02
Conv.(%) NNH                  0.000e+00           1.000e+02
Conv.(%) NH2                  0.000e+00           1.000e+02
Conv.(%) H2NO                 0.000e+00           1.000e+02
Conv.(%) N2H3                 0.000e+00           1.000e+02
Total species (kmol/m2/s)     7.767676e-01        7.743174e-01
Element(kmol/m2/s) H          7.421766e-02        7.421766e-02
Element(kmol/m2/s) O          2.839738e-01        2.839738e-01
Element(kmol/m2/s) N          1.227562e+00        1.227562e+00
Element(kmol/m2/s) HE         2.166818e-31        0.000000e+00
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            7.881856e-01        7.881878e-01
HE                            3.976502e-32        0.000000e+00
H2                            4.354926e-04        7.770015e-11
H                             4.306359e-06        1.422459e-13
O2                            1.844705e-01        1.809577e-01
O                             9.805606e-07        2.939655e-09
H2O                           2.663469e-02        3.064765e-02
OH                            8.197878e-05        9.588637e-07
H2O2                          1.685473e-09        8.362374e-10
HO2                           7.592597e-09        2.315470e-08
NO                            1.590932e-04        1.835699e-04
N2O                           1.082201e-06        5.972539e-06
NO2                           6.442312e-09        1.625074e-05
HNO                           1.137708e-07        2.887348e-12
HNO2                          1.924991e-11        1.588421e-10
HONO                          1.621029e-09        5.186171e-08
HONO2                         9.506047e-15        5.548105e-10
N2H2                          4.201593e-09        8.547671e-17
H2NN                          1.772481e-11        4.883291e-22
NH2OH                         3.808923e-10        1.264247e-15
HNOH                          5.602386e-10        2.106172e-15
NH3                           2.380682e-05        5.010423e-12
N2H4                          4.590938e-12        1.270550e-21
N                             1.653381e-07        8.372268e-19
NO3                           2.651580e-16        8.883135e-12
NH                            3.789342e-07        5.731789e-17
NNH                           5.403375e-10        7.680815e-18
NH2                           1.762608e-06        2.915560e-14
H2NO                          1.872417e-09        3.687732e-14
N2H3                          1.944121e-11        3.039189e-22
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            7.900766e-01        7.925788e-01
HE                            2.789532e-31        0.000000e+00
H2                            6.066050e-03        1.085723e-09
H                             1.199680e-04        3.975275e-12
O2                            1.618899e-01        1.593096e-01
O                             1.721066e-06        5.175966e-09
H2O                           4.151730e-02        4.792375e-02
OH                            1.353597e-04        1.588243e-06
H2O2                          1.391489e-09        6.925638e-10
HO2                           6.459713e-09        1.976215e-08
NO                            1.488879e-04        1.723381e-04
N2O                           6.904665e-07        3.822662e-06
NO2                           3.932353e-09        9.950752e-06
HNO                           1.030123e-07        2.622582e-12
HNO2                          1.149811e-11        9.517776e-11
HONO                          9.682524e-10        3.107540e-08
HONO2                         4.236356e-15        2.480329e-10
N2H2                          3.928931e-09        8.018264e-17
H2NN                          1.657456e-11        4.580840e-22
NH2OH                         3.238243e-10        1.078230e-15
HNOH                          4.912928e-10        1.852820e-15
NH3                           3.925338e-05        8.287472e-12
N2H4                          4.022939e-12        1.116878e-21
N                             3.314695e-07        1.683782e-18
NO3                           1.200883e-16        4.035845e-12
NH                            7.086867e-07        1.075357e-16
NNH                           5.228216e-10        7.455346e-18
NH2                           3.089070e-06        5.125851e-14
H2NO                          1.641987e-09        3.244134e-14
N2H3                          1.758917e-11        2.758366e-22
-----------------------------------------------------------------------------
