t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      AR_x(10)        N2_x(11)        HE_x(12)        H2_x(13)        H_x(14)         O2_x(15)        O_x(16)         H2O_x(17)       OH_x(18)        H2O2_x(19)      HO2_x(20)       NO_x(21)        N2O_x(22)       NO2_x(23)       HNO_x(24)       HNO2_x(25)      HONO_x(26)      HONO2_x(27)     N2H2_x(28)      H2NN_x(29)      NH2OH_x(30)     HNOH_x(31)      NH3_x(32)       N2H4_x(33)      N_x(34)         NO3_x(35)       NH_x(36)        NNH_x(37)       NH2_x(38)       H2NO_x(39)      N2H3_x(40)      AR_w(41)        N2_w(42)        HE_w(43)        H2_w(44)        H_w(45)         O2_w(46)        O_w(47)         H2O_w(48)       OH_w(49)        H2O2_w(50)      HO2_w(51)       NO_w(52)        N2O_w(53)       NO2_w(54)       HNO_w(55)       HNO2_w(56)      HONO_w(57)      HONO2_w(58)     N2H2_w(59)      H2NN_w(60)      NH2OH_w(61)     HNOH_w(62)      NH3_w(63)       N2H4_w(64)      N_w(65)         NO3_w(66)       NH_w(67)        NNH_w(68)       NH2_w(69)       H2NO_w(70)      N2H3_w(71)      
0.000000e+00        0.000000e+00        1.139835e+03        2.553390e+05        1.139835e+03        2.553390e+05        2.883036e+01        7.565835e-01        2.808121e+01        0.000000e+00    7.900766e-01    2.789532e-31    6.066050e-03    1.199680e-04    1.618899e-01    1.721066e-06    4.151730e-02    1.353597e-04    1.391489e-09    6.459713e-09    1.488879e-04    6.904665e-07    3.932353e-09    1.030123e-07    1.149811e-11    9.682524e-10    4.236356e-15    3.928931e-09    1.657456e-11    3.238243e-10    4.912928e-10    3.925338e-05    4.022939e-12    3.314695e-07    1.200883e-16    7.086867e-07    5.228216e-10    3.089070e-06    1.641987e-09    1.758917e-11    0.000000e+00    7.881856e-01    3.976502e-32    4.354926e-04    4.306359e-06    1.844705e-01    9.805606e-07    2.663469e-02    8.197878e-05    1.685473e-09    7.592597e-09    1.590932e-04    1.082201e-06    6.442312e-09    1.137708e-07    1.924991e-11    1.621029e-09    9.506047e-15    4.201593e-09    1.772481e-11    3.808923e-10    5.602386e-10    2.380682e-05    4.590938e-12    1.653381e-07    2.651580e-16    3.789342e-07    5.403375e-10    1.762608e-06    1.872417e-09    1.944121e-11    
2.240321e-09        6.458926e-08        1.139835e+03        2.553390e+05        1.139836e+03        2.553390e+05        2.883037e+01        7.565831e-01        2.808121e+01        0.000000e+00    7.900767e-01    2.789533e-31    6.065957e-03    1.197832e-04    1.618897e-01    1.881416e-06    4.151741e-02    1.354150e-04    1.487173e-09    1.292767e-07    1.488896e-04    6.906120e-07    3.934663e-09    1.031547e-07    1.179016e-11    1.041863e-09    1.599250e-14    3.933571e-09    1.660746e-11    3.322469e-10    4.909730e-10    3.925273e-05    4.970219e-12    3.296527e-07    1.969082e-16    7.084376e-07    1.227947e-10    3.089292e-06    1.642369e-09    1.743007e-11    0.000000e+00    7.881856e-01    3.976502e-32    4.354858e-04    4.299725e-06    1.844702e-01    1.071919e-06    2.663475e-02    8.201220e-05    1.801372e-09    1.519488e-07    1.590951e-04    1.082429e-06    6.446095e-09    1.139281e-07    1.973885e-11    1.744267e-09    3.588589e-14    4.206554e-09    1.775999e-11    3.907992e-10    5.598739e-10    2.380643e-05    5.671965e-12    1.644319e-07    4.347781e-16    3.788010e-07    1.269086e-10    1.762735e-06    1.872851e-09    1.926535e-11    
2.182369e-08        6.291863e-07        1.139835e+03        2.553390e+05        1.139841e+03        2.553390e+05        2.883049e+01        7.565800e-01        2.808124e+01        0.000000e+00    7.900775e-01    2.789536e-31    6.065134e-03    1.181849e-04    1.618874e-01    3.269655e-06    4.151832e-02    1.358901e-04    2.327750e-09    1.189819e-06    1.489043e-04    6.918810e-07    4.096724e-09    1.044337e-07    1.434648e-11    1.686541e-09    1.202787e-13    3.974046e-09    1.689167e-11    4.060172e-10    4.882069e-10    3.924710e-05    1.324944e-11    3.142508e-07    1.081435e-15    7.062713e-07    1.898843e-10    3.091170e-06    1.661760e-09    1.612774e-11    0.000000e+00    7.881856e-01    3.976502e-32    4.354263e-04    4.242347e-06    1.844674e-01    1.862852e-06    2.663531e-02    8.229991e-05    2.819537e-09    1.398484e-06    1.591106e-04    1.084416e-06    6.711590e-09    1.153406e-07    2.401856e-11    2.823571e-09    2.698955e-13    4.249833e-09    1.806390e-11    4.775697e-10    5.567190e-10    2.380299e-05    1.512012e-11    1.567491e-07    2.387832e-15    3.776423e-07    1.962457e-10    1.763804e-06    1.894962e-09    1.782588e-11    
1.253962e-07        3.615266e-06        1.139835e+03        2.553390e+05        1.139872e+03        2.553390e+05        2.883111e+01        7.565637e-01        2.808140e+01        0.000000e+00    7.900818e-01    2.789551e-31    6.060713e-03    1.102713e-04    1.618760e-01    1.025292e-05    4.152319e-02    1.382017e-04    6.929222e-09    6.468243e-06    1.489669e-04    6.985331e-07    8.694196e-09    1.121185e-07    2.795457e-11    5.127834e-09    9.343354e-13    4.185901e-09    1.831179e-11    7.998810e-10    4.745094e-10    3.921732e-05    5.695737e-11    2.446976e-07    1.621741e-14    6.951304e-07    1.724683e-10    3.099459e-06    2.190006e-09    1.118768e-11    0.000000e+00    7.881856e-01    3.976502e-32    4.351065e-04    3.958261e-06    1.844534e-01    5.841466e-06    2.663829e-02    8.369941e-05    8.393121e-09    7.602571e-06    1.591766e-04    1.094836e-06    1.424347e-08    1.238273e-07    4.680066e-11    8.584860e-09    2.096561e-12    4.476366e-09    1.958247e-11    9.408389e-10    5.410963e-10    2.378479e-05    6.499876e-11    1.220552e-07    3.580820e-14    3.716832e-07    1.782452e-10    1.768524e-06    2.497325e-09    1.236560e-11    
3.581945e-07        1.032726e-05        1.139835e+03        2.553390e+05        1.139940e+03        2.553390e+05        2.883251e+01        7.565269e-01        2.808170e+01        0.000000e+00    7.900906e-01    2.789582e-31    6.050384e-03    9.548949e-05    1.618533e-01    2.396027e-05    4.153445e-02    1.422416e-04    1.870423e-08    1.655352e-05    1.490368e-04    7.131303e-07    3.920336e-08    1.343515e-07    5.900050e-11    1.302389e-08    7.763133e-12    4.648495e-09    2.110830e-11    1.702585e-09    4.514133e-10    3.915050e-05    1.540478e-10    1.431556e-07    3.211929e-13    6.719139e-07    1.353018e-10    3.108796e-06    5.689706e-09    7.014090e-12    0.000000e+00    7.881857e-01    3.976502e-32    4.343602e-04    3.427620e-06    1.844255e-01    1.365089e-05    2.664521e-02    8.614517e-05    2.265552e-08    1.945628e-05    1.592495e-04    1.117703e-06    6.422511e-08    1.483805e-07    9.877572e-11    2.180396e-08    1.741954e-11    4.971006e-09    2.257278e-11    2.002599e-09    5.147535e-10    2.374400e-05    1.757948e-10    7.140524e-08    7.091892e-13    3.592655e-07    1.398322e-10    1.773833e-06    6.488060e-09    7.752497e-12    
7.831505e-07        2.258035e-05        1.139835e+03        2.553390e+05        1.140061e+03        2.553390e+05        2.883508e+01        7.564596e-01        2.808218e+01        0.000000e+00    7.901038e-01    2.789628e-31    6.030472e-03    7.685471e-05    1.618201e-01    4.343362e-05    4.155571e-02    1.463390e-04    4.701329e-08    3.025399e-05    1.490160e-04    7.386231e-07    1.491115e-07    1.877880e-07    1.168897e-10    2.777988e-08    5.867075e-11    5.444497e-09    2.524649e-11    3.375542e-09    4.468232e-10    3.902968e-05    3.231319e-10    6.182059e-08    4.540097e-12    6.350941e-07    1.099707e-10    3.098628e-06    1.819123e-08    8.216720e-12    0.000000e+00    7.881857e-01    3.976502e-32    4.329234e-04    2.758673e-06    1.843845e-01    2.474504e-05    2.665841e-02    8.862514e-05    5.694395e-08    3.555861e-05    1.592246e-04    1.157639e-06    2.442786e-07    2.073934e-07    1.956877e-10    4.650691e-08    1.316480e-10    5.822136e-09    2.699762e-11    3.970282e-09    5.095108e-10    2.367033e-05    3.687423e-10    3.083525e-08    1.002430e-11    3.395726e-07    1.136511e-10    1.768001e-06    2.074339e-08    9.081581e-12    
1.430999e-06        4.126240e-05        1.139835e+03        2.553390e+05        1.140240e+03        2.553390e+05        2.883902e+01        7.563562e-01        2.808275e+01        0.000000e+00    7.901200e-01    2.789685e-31    5.998621e-03    6.149933e-05    1.617822e-01    6.405236e-05    4.158888e-02    1.477541e-04    1.075556e-07    4.391592e-05    1.488267e-04    7.750348e-07    4.028830e-07    2.861576e-07    2.076289e-10    5.045522e-08    2.846464e-10    6.535660e-09    2.987785e-11    5.878071e-09    5.498523e-10    3.885037e-05    5.498276e-10    2.704872e-08    3.319475e-11    5.894795e-07    8.911893e-11    3.035223e-06    4.576517e-08    1.545441e-11    0.000000e+00    7.881857e-01    3.976502e-32    4.306280e-04    2.207452e-06    1.843376e-01    3.649121e-05    2.667914e-02    8.948031e-05    1.302720e-07    5.161491e-05    1.590191e-04    1.214682e-06    6.600006e-07    3.160265e-07    3.475892e-10    8.446648e-08    6.386887e-10    6.988840e-09    3.194957e-11    6.913592e-09    6.269816e-10    2.356111e-05    6.274234e-10    1.349125e-08    7.329079e-11    3.151769e-07    9.209958e-11    1.731788e-06    5.218479e-08    1.708073e-11    
2.276314e-06        6.564264e-05        1.139835e+03        2.553390e+05        1.140473e+03        2.553390e+05        2.884427e+01        7.562186e-01        2.808337e+01        0.000000e+00    7.901376e-01    2.789747e-31    5.956053e-03    5.298135e-05    1.617450e-01    8.180302e-05    4.163217e-02    1.465856e-04    2.117676e-07    5.480215e-05    1.484890e-04    8.189357e-07    8.178765e-07    4.204973e-07    3.316648e-10    7.953835e-08    8.956628e-10    7.735483e-09    3.373545e-11    8.911166e-09    8.643230e-10    3.862544e-05    7.775733e-10    1.759096e-08    1.378840e-10    5.427584e-07    7.743659e-11    2.902951e-06    8.608755e-08    2.669556e-11    0.000000e+00    7.881857e-01    3.976502e-32    4.275627e-04    1.901666e-06    1.842911e-01    4.660290e-05    2.670632e-02    8.877070e-05    2.564885e-07    6.440821e-05    1.586547e-04    1.283457e-06    1.339811e-06    4.643781e-07    5.552238e-10    1.331513e-07    2.009641e-09    8.271675e-09    3.607385e-11    1.048078e-08    9.855422e-10    2.342418e-05    8.872906e-10    8.773752e-09    3.044278e-10    2.901901e-07    8.002473e-11    1.656282e-06    9.816112e-08    2.950418e-11    
3.314429e-06        9.558976e-05        1.139835e+03        2.553390e+05        1.140764e+03        2.553390e+05        2.885094e+01        7.560438e-01        2.808406e+01        0.000000e+00    7.901570e-01    2.789816e-31    5.903405e-03    4.934509e-05    1.617078e-01    9.643475e-05    4.168469e-02    1.454178e-04    3.664822e-07    6.283414e-05    1.480577e-04    8.684071e-07    1.378604e-06    5.694614e-07    4.969222e-10    1.141614e-07    2.108979e-09    8.877951e-09    3.614801e-11    1.220668e-08    1.420457e-09    3.835651e-05    9.540449e-10    1.452868e-08    3.958556e-10    4.973977e-07    7.229642e-11    2.712796e-06    1.306950e-07    3.806309e-11    0.000000e+00    7.881857e-01    3.976502e-32    4.237729e-04    1.771106e-06    1.842442e-01    5.493719e-05    2.673935e-02    8.806135e-05    4.438648e-07    7.384628e-05    1.581900e-04    1.360957e-06    2.258316e-06    6.288718e-07    8.318526e-10    1.911073e-07    4.731899e-09    9.493102e-09    3.865270e-11    1.435642e-08    1.619633e-09    2.326051e-05    1.088636e-09    7.246219e-09    8.739701e-10    2.659311e-07    7.471094e-11    1.547751e-06    1.490210e-07    4.206664e-11    
4.661758e-06        1.344675e-04        1.139835e+03        2.553390e+05        1.141158e+03        2.553390e+05        2.886001e+01        7.558061e-01        2.808492e+01        0.000000e+00    7.901811e-01    2.789901e-31    5.834573e-03    4.830921e-05    1.616656e-01    1.095192e-04    4.175239e-02    1.464986e-04    5.938604e-07    6.881105e-05    1.475580e-04    9.267863e-07    2.105841e-06    7.184241e-07    7.389247e-10    1.578199e-07    4.298160e-09    9.883000e-09    3.686861e-11    1.584707e-08    2.197377e-09    3.800389e-05    1.046925e-09    1.279150e-08    9.384352e-10    4.502664e-07    7.062744e-11    2.475628e-06    1.719661e-07    4.645594e-11    0.000000e+00    7.881858e-01    3.976502e-32    4.188190e-04    1.733873e-06    1.841905e-01    6.238927e-05    2.678196e-02    8.871315e-05    7.192318e-07    8.086822e-05    1.576514e-04    1.452404e-06    3.449511e-06    7.933512e-07    1.236929e-09    2.641840e-07    9.643455e-09    1.056747e-08    3.942203e-11    1.863736e-08    2.505415e-09    2.304597e-05    1.194582e-09    6.379601e-09    2.071814e-09    2.407253e-07    7.298399e-11    1.412394e-06    1.960731e-07    5.134070e-11    
