
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.0250777
Length[m]                     0                   0.0195
T[K]                          685.099             685.099
P[atm]                        5.00000             5.00000
V[m3]                         0.77758             0.77758
rho[kg/m3]                    2.23071             2.23071
MW[kg/kmol]                   25.08090            25.08090
Phi[-]                        1.67249             1.67249
H[J/kg]                       -6.896891e+04       -6.896891e+04
U[J/kg]                       -2.960830e+05       -2.960830e+05
E[J/kg]                       -6.896861e+04       -6.896861e+04
Conv.(%) NO                   0.000e+00           -1.681e+08
Conv.(%) NH3                  0.000e+00           1.282e-14
Conv.(%) H2                   0.000e+00           -2.590e+05
Conv.(%) O2                   0.000e+00           3.042e-14
Conv.(%) H                    0.000e+00           -2.379e+00
Conv.(%) O                    0.000e+00           -4.749e+04
Conv.(%) OH                   0.000e+00           -4.227e+04
Conv.(%) HO2                  0.000e+00           -7.085e+04
Conv.(%) H2O                  0.000e+00           -1.016e+08
Conv.(%) H2O2                 0.000e+00           -5.161e+07
Conv.(%) NH2                  0.000e+00           -1.020e+05
Conv.(%) NH                   0.000e+00           -6.361e+13
Conv.(%) N                    0.000e+00           -1.516e+13
Conv.(%) NNH                  0.000e+00           -2.668e+00
Conv.(%) NH2OH                0.000e+00           -1.918e+11
Conv.(%) H2NO                 0.000e+00           -1.107e+08
Conv.(%) HNOH                 0.000e+00           -5.303e+09
Conv.(%) HNO                  0.000e+00           -5.134e+05
Conv.(%) HON                  0.000e+00           -1.851e+11
Conv.(%) NO2                  0.000e+00           -1.369e+14
Conv.(%) HONO                 0.000e+00           -1.268e+17
Conv.(%) HNO2                 0.000e+00           -3.486e+17
Conv.(%) NO3                  0.000e+00           -7.294e+22
Conv.(%) HONO2                0.000e+00           -1.974e+11
Conv.(%) N2O                  0.000e+00           -2.291e+02
Conv.(%) N2H4                 0.000e+00           -1.498e+15
Conv.(%) N2H3                 0.000e+00           -6.985e+17
Conv.(%) N2H2                 0.000e+00           -4.544e+17
Conv.(%) H2NN                 0.000e+00           -6.748e+13
Conv.(%) N2                   0.000e+00           0.000e+00
Total species (kmol/m2/s)     6.915865e-02        6.915865e-02
Element(kmol/m2/s) H          6.617206e-02        6.617206e-02
Element(kmol/m2/s) O          1.978255e-02        1.978255e-02
Element(kmol/m2/s) N          9.647741e-02        9.647741e-02
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            3.672125e-25        6.173542e-19
NH3                           2.165728e-01        2.165728e-01
H2                            9.151921e-27        2.371104e-23
O2                            1.824674e-01        1.824674e-01
H                             7.075399e-27        7.243750e-27
O                             3.903378e-27        1.857504e-24
OH                            2.608099e-28        1.105135e-25
HO2                           6.404807e-20        4.544343e-17
H2O                           7.555975e-25        7.679550e-19
H2O2                          2.089173e-23        1.078124e-17
NH2                           3.111279e-20        3.177399e-17
NH                            1.352192e-38        8.601490e-27
N                             6.342426e-47        9.613208e-36
NNH                           4.444776e-32        4.563355e-32
NH2OH                         3.552551e-31        6.812236e-22
H2NO                          5.651550e-25        6.256426e-19
HNOH                          3.261895e-29        1.729785e-21
HNO                           2.122644e-25        1.089978e-21
HON                           2.629746e-37        4.867983e-28
NO2                           1.029306e-36        1.409158e-24
HONO                          4.599093e-41        5.831970e-26
HNO2                          2.303270e-45        8.030076e-30
NO3                           8.740088e-55        6.374734e-34
HONO2                         4.786920e-53        9.451711e-44
N2O                           1.320624e-25        4.345520e-25
N2H4                          4.469523e-33        6.695890e-20
N2H3                          4.065008e-35        2.839353e-19
N2H2                          3.080536e-39        1.399725e-23
H2NN                          1.999826e-41        1.349489e-29
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            6.009598e-01        6.009598e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            3.069393e-25        5.160235e-19
NH3                           3.189385e-01        3.189385e-01
H2                            1.138584e-25        2.949873e-22
O2                            1.430229e-01        1.430229e-01
H                             1.760490e-25        1.802379e-25
O                             6.119148e-27        2.911925e-24
OH                            3.846268e-28        1.629787e-25
HO2                           4.866943e-20        3.453197e-17
H2O                           1.051960e-24        1.069165e-18
H2O2                          1.540494e-23        7.949763e-18
NH2                           4.870104e-20        4.973602e-17
NH                            2.258687e-38        1.436784e-26
N                             1.135673e-46        1.721339e-35
NNH                           3.841189e-32        3.943666e-32
NH2OH                         2.697584e-31        5.172783e-22
H2NO                          4.426518e-25        4.900282e-19
HNOH                          2.554846e-29        1.354836e-21
HNO                           1.716574e-25        8.814614e-22
HON                           2.126665e-37        3.936719e-28
NO2                           5.611549e-37        7.682413e-25
HONO                          2.453564e-41        3.111290e-26
HNO2                          1.228768e-45        4.283954e-30
NO3                           3.535406e-55        2.578609e-34
HONO2                         1.905356e-53        3.762100e-44
N2O                           7.525604e-26        2.476304e-25
N2H4                          3.498086e-33        5.240559e-20
N2H3                          3.284814e-35        2.294398e-19
N2H2                          2.572848e-39        1.169043e-23
H2NN                          1.670245e-41        1.127086e-29
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            5.380386e-01        5.380386e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
