
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1.34923e-07
T[K]                          800.000             800.000
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.19744             2.19744
MW[kg/kmol]                   28.85064            28.85064
Phi[-]                        0.00000             0.00000
H[J/kg]                       5.272431e+05        5.272431e+05
U[J/kg]                       2.966912e+05        2.966912e+05
Conv.(%) O2                   0.000000e+00        0.000000e+00
Conv.(%) N2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        5.645178e-03        5.645178e-03
Element(kmol/s) O             2.370975e-03        2.370975e-03
Element(kmol/s) N             8.919381e-03        8.919381e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        6.836504e-44
NH3                           0.000000e+00        0.000000e+00
H2                            0.000000e+00        0.000000e+00
O2                            2.329092e-01        2.329092e-01
H                             0.000000e+00        0.000000e+00
O                             0.000000e+00        7.391731e-27
OH                            0.000000e+00        0.000000e+00
HO2                           0.000000e+00        0.000000e+00
H2O                           0.000000e+00        3.978907e-47
H2O2                          0.000000e+00        0.000000e+00
NH2                           0.000000e+00        0.000000e+00
NH                            0.000000e+00        0.000000e+00
N                             0.000000e+00        1.152120e-44
NNH                           0.000000e+00        0.000000e+00
NH2OH                         0.000000e+00        0.000000e+00
H2NO                          0.000000e+00        0.000000e+00
HNOH                          0.000000e+00        0.000000e+00
HNO                           0.000000e+00        0.000000e+00
HON                           0.000000e+00        1.645417e-151
NO2                           0.000000e+00        5.088591e-44
HONO                          0.000000e+00        1.342709e-85
HNO2                          0.000000e+00        8.151952e-87
NO3                           0.000000e+00        5.441398e-63
HONO2                         0.000000e+00        1.116399e-85
N2O                           0.000000e+00        2.029715e-26
N2H4                          0.000000e+00        0.000000e+00
N2H3                          0.000000e+00        2.600956e-78
N2H2                          0.000000e+00        0.000000e+00
H2NN                          0.000000e+00        1.375608e-78
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.670908e-01        7.670908e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        6.573269e-44
NH3                           0.000000e+00        0.000000e+00
H2                            0.000000e+00        0.000000e+00
O2                            2.100000e-01        2.100000e-01
H                             0.000000e+00        0.000000e+00
O                             0.000000e+00        1.332934e-26
OH                            0.000000e+00        0.000000e+00
HO2                           0.000000e+00        0.000000e+00
H2O                           0.000000e+00        6.372135e-47
H2O2                          0.000000e+00        0.000000e+00
NH2                           0.000000e+00        0.000000e+00
NH                            0.000000e+00        0.000000e+00
N                             0.000000e+00        2.373056e-44
NNH                           0.000000e+00        0.000000e+00
NH2OH                         0.000000e+00        0.000000e+00
H2NO                          0.000000e+00        0.000000e+00
HNOH                          0.000000e+00        0.000000e+00
HNO                           0.000000e+00        0.000000e+00
HON                           0.000000e+00        1.530642e-151
NO2                           0.000000e+00        3.191155e-44
HONO                          0.000000e+00        8.239852e-86
HNO2                          0.000000e+00        5.002638e-87
NO3                           0.000000e+00        2.531898e-63
HONO2                         0.000000e+00        5.111537e-86
N2O                           0.000000e+00        1.330484e-26
N2H4                          0.000000e+00        0.000000e+00
N2H3                          0.000000e+00        2.417657e-78
N2H2                          0.000000e+00        0.000000e+00
H2NN                          0.000000e+00        1.321584e-78
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.900000e-01        7.900000e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
