t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      NO_x(10)        NH3_x(11)       H2_x(12)        O2_x(13)        H_x(14)         O_x(15)         OH_x(16)        HO2_x(17)       H2O_x(18)       H2O2_x(19)      NH2_x(20)       NH_x(21)        N_x(22)         NNH_x(23)       NH2OH_x(24)     H2NO_x(25)      HNOH_x(26)      HNO_x(27)       HON_x(28)       NO2_x(29)       HONO_x(30)      HNO2_x(31)      NO3_x(32)       HONO2_x(33)     N2O_x(34)       N2H4_x(35)      N2H3_x(36)      N2H2_x(37)      H2NN_x(38)      AR_x(39)        HE_x(40)        N2_x(41)        CO2_x(42)       NO_w(43)        NH3_w(44)       H2_w(45)        O2_w(46)        H_w(47)         O_w(48)         OH_w(49)        HO2_w(50)       H2O_w(51)       H2O2_w(52)      NH2_w(53)       NH_w(54)        N_w(55)         NNH_w(56)       NH2OH_w(57)     H2NO_w(58)      HNOH_w(59)      HNO_w(60)       HON_w(61)       NO2_w(62)       HONO_w(63)      HNO2_w(64)      NO3_w(65)       HONO2_w(66)     N2O_w(67)       N2H4_w(68)      N2H3_w(69)      N2H2_w(70)      H2NN_w(71)      AR_w(72)        HE_w(73)        N2_w(74)        CO2_w(75)       
0.000000e+00        0.000000e+00        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542343e-01        1.421262e+00        2.799001e+01        5.422680e-04    1.412481e-05    1.256535e-05    1.639468e-01    6.900640e-07    1.091506e-05    2.919919e-04    7.175617e-07    6.750330e-02    6.635955e-08    2.214796e-06    1.526603e-07    4.267737e-09    5.568075e-11    5.732510e-09    1.161713e-08    1.949340e-09    1.433894e-07    1.478566e-08    2.260665e-06    6.909457e-08    3.602270e-10    4.405242e-12    4.600925e-11    3.492701e-05    7.820707e-11    2.487652e-11    8.638850e-09    1.649620e-11    0.000000e+00    0.000000e+00    7.676367e-01    0.000000e+00    5.813251e-04    8.594484e-06    9.050284e-07    1.874229e-01    2.485117e-08    6.239014e-06    1.774171e-04    8.461534e-07    4.344664e-02    8.064141e-08    1.267869e-06    8.189332e-08    2.135697e-09    5.773369e-11    6.764728e-09    1.329059e-08    2.230144e-09    1.588809e-07    1.638307e-08    3.715679e-06    1.160537e-07    6.050499e-10    9.758576e-12    1.035775e-10    5.492111e-05    8.953994e-11    2.758547e-11    9.268473e-09    1.769849e-11    0.000000e+00    0.000000e+00    7.682947e-01    0.000000e+00    
7.277281e-09        4.761046e-09        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542342e-01        1.421262e+00        2.799001e+01        5.422486e-04    1.412093e-05    1.256261e-05    1.639468e-01    6.893446e-07    1.105610e-05    2.916621e-04    7.247498e-07    6.750346e-02    7.101727e-08    2.215645e-06    1.512600e-07    4.164246e-09    6.973581e-12    5.861729e-09    1.154061e-08    1.942408e-09    1.441218e-07    1.478566e-08    2.261160e-06    8.722489e-08    2.209364e-10    6.153519e-12    1.814866e-10    3.492790e-05    8.094943e-11    2.600248e-11    8.641530e-09    1.647910e-11    0.000000e+00    0.000000e+00    7.676368e-01    0.000000e+00    5.813042e-04    8.592122e-06    9.048307e-07    1.874229e-01    2.482526e-08    6.319629e-06    1.772167e-04    8.546295e-07    4.344674e-02    8.630155e-08    1.268355e-06    8.114212e-08    2.083907e-09    7.230696e-12    6.917214e-09    1.320305e-08    2.222213e-09    1.596924e-07    1.638307e-08    3.716493e-06    1.465060e-07    3.710925e-10    1.363139e-11    4.085683e-10    5.492251e-05    9.267969e-11    2.883403e-11    9.271348e-09    1.768014e-11    0.000000e+00    0.000000e+00    7.682947e-01    0.000000e+00    
6.764321e-08        4.425450e-08        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542341e-01        1.421263e+00        2.799002e+01        5.420885e-04    1.408899e-05    1.254001e-05    1.639468e-01    6.878913e-07    1.219627e-05    2.889705e-04    7.834414e-07    6.750475e-02    1.090844e-07    2.222073e-06    1.405053e-07    3.440442e-09    2.459659e-11    6.923732e-09    1.095702e-08    1.889823e-09    1.500428e-07    1.478567e-08    2.266833e-06    2.337530e-07    3.992395e-10    2.107822e-11    1.252214e-09    3.493498e-05    1.035993e-10    3.533369e-11    8.661528e-09    1.647993e-11    0.000000e+00    0.000000e+00    7.676370e-01    0.000000e+00    5.811325e-04    8.572682e-06    9.032024e-07    1.874229e-01    2.477292e-08    6.971345e-06    1.755812e-04    9.238388e-07    4.344756e-02    1.325614e-07    1.272035e-06    7.537286e-08    1.721695e-09    2.550345e-11    8.170444e-09    1.253538e-08    2.162054e-09    1.662531e-07    1.638308e-08    3.725816e-06    3.926196e-07    6.705765e-10    4.669287e-11    2.819023e-09    5.493362e-05    1.186117e-10    3.918136e-11    9.292802e-09    1.768103e-11    0.000000e+00    0.000000e+00    7.682947e-01    0.000000e+00    
2.583190e-07        1.690011e-07        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542335e-01        1.421264e+00        2.799004e+01        5.415954e-04    1.399071e-05    1.247047e-05    1.639469e-01    7.197525e-07    1.550600e-05    2.809168e-04    9.659960e-07    6.750859e-02    2.235942e-07    2.236228e-06    1.141873e-07    2.097289e-09    2.476267e-11    1.017356e-08    9.583814e-09    1.771629e-09    1.676289e-07    1.478571e-08    2.300242e-06    6.709511e-07    1.133420e-09    7.204801e-11    4.138079e-09    3.495441e-05    1.739824e-10    6.535890e-11    8.703639e-09    1.783521e-11    0.000000e+00    0.000000e+00    7.676376e-01    0.000000e+00    5.806033e-04    8.512877e-06    8.981936e-07    1.874228e-01    2.592031e-08    8.863169e-06    1.706876e-04    1.139107e-06    4.345000e-02    2.717157e-07    1.280137e-06    6.125475e-08    1.049542e-09    2.567564e-11    1.200544e-08    1.096436e-08    2.026832e-09    1.857390e-07    1.638311e-08    3.780725e-06    1.126952e-06    1.903730e-09    1.596019e-10    9.315765e-09    5.496414e-05    1.991937e-10    7.247612e-11    9.337974e-09    1.913506e-11    0.000000e+00    0.000000e+00    7.682947e-01    0.000000e+00    
6.804506e-07        4.451734e-07        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542324e-01        1.421267e+00        2.799009e+01        5.405659e-04    1.378607e-05    1.232822e-05    1.639472e-01    8.649024e-07    2.148568e-05    2.653113e-04    1.395666e-06    6.751601e-02    4.492577e-07    2.238740e-06    8.278780e-08    1.109864e-09    2.511288e-11    1.679672e-08    8.402373e-09    1.718619e-09    2.046804e-07    1.478581e-08    2.447492e-06    1.515220e-06    2.609251e-09    1.998149e-10    8.549869e-09    3.498709e-05    3.218683e-10    1.384950e-10    8.711025e-09    2.671152e-11    0.000000e+00    0.000000e+00    7.676391e-01    0.000000e+00    5.794986e-04    8.388343e-06    8.879462e-07    1.874228e-01    3.114751e-08    1.228111e-05    1.612052e-04    1.645773e-06    4.345470e-02    5.459450e-07    1.281573e-06    4.441068e-08    5.554060e-10    2.603871e-11    1.982115e-08    9.612715e-09    1.966182e-09    2.267931e-07    1.638320e-08    4.022740e-06    2.545009e-06    4.382576e-09    4.426324e-10    1.924768e-08    5.501542e-05    3.685087e-10    1.535761e-10    9.345882e-09    2.865824e-11    0.000000e+00    0.000000e+00    7.682948e-01    0.000000e+00    
1.290984e-06        8.446036e-07        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542306e-01        1.421270e+00        2.799016e+01        5.392036e-04    1.351580e-05    1.214917e-05    1.639477e-01    1.051258e-06    2.765125e-05    2.471504e-04    2.092857e-06    6.752466e-02    7.212605e-07    2.191409e-06    6.597670e-08    7.459833e-10    2.505829e-11    2.504989e-08    9.319247e-09    1.952371e-09    2.588396e-07    1.478602e-08    2.799866e-06    2.494653e-06    4.318206e-09    4.088214e-10    1.230845e-08    3.502273e-05    5.117290e-10    2.562194e-10    8.600175e-09    4.886546e-11    0.000000e+00    0.000000e+00    7.676412e-01    0.000000e+00    5.780367e-04    8.223875e-06    8.750475e-07    1.874229e-01    3.785858e-08    1.580528e-05    1.501702e-04    2.467897e-06    4.346015e-02    8.764848e-07    1.254475e-06    3.539244e-08    3.733093e-10    2.598205e-11    2.956031e-08    1.066164e-08    2.233600e-09    2.868025e-07    1.638338e-08    4.601897e-06    4.190084e-06    7.252970e-09    9.056240e-10    2.770902e-08    5.507133e-05    5.858796e-10    2.841190e-10    9.226929e-09    5.242663e-11    0.000000e+00    0.000000e+00    7.682949e-01    0.000000e+00    
2.125708e-06        1.390705e-06        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542283e-01        1.421275e+00        2.799026e+01        5.375293e-04    1.318279e-05    1.194230e-05    1.639485e-01    1.180422e-06    3.282491e-05    2.284263e-04    3.054824e-06    6.753369e-02    1.017311e-06    2.072063e-06    5.770736e-08    5.969828e-10    2.412133e-11    3.408170e-08    1.272155e-08    2.495355e-09    3.278158e-07    1.478640e-08    3.470605e-06    3.496546e-06    6.066050e-09    7.321168e-10    1.565068e-08    3.506355e-05    7.195609e-10    4.117963e-10    8.341936e-09    8.519553e-11    0.000000e+00    0.000000e+00    7.676441e-01    0.000000e+00    5.762398e-04    8.021221e-06    8.601449e-07    1.874231e-01    4.250999e-08    1.876245e-05    1.387928e-04    3.602235e-06    4.346581e-02    1.236245e-06    1.186151e-06    3.095634e-08    2.987445e-10    2.501046e-11    4.021822e-08    1.455397e-08    2.854788e-09    3.632291e-07    1.638374e-08    5.704312e-06    5.872867e-06    1.018866e-08    1.621784e-09    3.523299e-08    5.513531e-05    8.238240e-10    4.566350e-10    8.949839e-09    9.140399e-11    0.000000e+00    0.000000e+00    7.682951e-01    0.000000e+00    
3.152673e-06        2.062573e-06        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542256e-01        1.421281e+00        2.799038e+01        5.356920e-04    1.281367e-05    1.172596e-05    1.639496e-01    1.210465e-06    3.593508e-05    2.117875e-04    4.058572e-06    6.754197e-02    1.298782e-06    1.895543e-06    5.122850e-08    4.977399e-10    2.235002e-11    4.228076e-08    1.740914e-08    3.157633e-09    3.899302e-07    1.478697e-08    4.489102e-06    4.363636e-06    7.578530e-09    1.179845e-09    1.931602e-08    3.510789e-05    8.969261e-10    5.626965e-10    7.958261e-09    1.240473e-10    0.000000e+00    0.000000e+00    7.676475e-01    0.000000e+00    5.742678e-04    7.796591e-06    8.445593e-07    1.874237e-01    4.359172e-08    2.054010e-05    1.286824e-04    4.785830e-06    4.347095e-02    1.578283e-06    1.085097e-06    2.748072e-08    2.490799e-10    2.317376e-11    4.989334e-08    1.991668e-08    3.612445e-09    4.320518e-07    1.638431e-08    7.378289e-06    7.329218e-06    1.272900e-08    2.613581e-09    4.348426e-08    5.520480e-05    1.026885e-09    6.239634e-10    8.538167e-09    1.330864e-10    0.000000e+00    0.000000e+00    7.682952e-01    0.000000e+00    
4.411795e-06        2.886321e-06        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542224e-01        1.421288e+00        2.799052e+01        5.336822e-04    1.240334e-05    1.149373e-05    1.639512e-01    1.160760e-06    3.695997e-05    1.972579e-04    4.924756e-06    6.754955e-02    1.560884e-06    1.688351e-06    4.416038e-08    4.028889e-10    2.006443e-11    4.906739e-08    2.181078e-08    3.757463e-09    4.264026e-07    1.478777e-08    5.900916e-06    5.069345e-06    8.809454e-09    1.768204e-09    2.409720e-08    3.515531e-05    1.020180e-09    6.779206e-10    7.465666e-09    1.538557e-10    0.000000e+00    0.000000e+00    7.676514e-01    0.000000e+00    5.721105e-04    7.546889e-06    8.278289e-07    1.874246e-01    4.180151e-08    2.112582e-05    1.198536e-04    5.807199e-06    4.347563e-02    1.896782e-06    9.664860e-07    2.368903e-08    2.016135e-10    2.080383e-11    5.790161e-08    2.495219e-08    4.298652e-09    4.724618e-07    1.638511e-08    9.698701e-06    8.514495e-06    1.479640e-08    3.916889e-09    5.424741e-08    5.527910e-05    1.167992e-09    7.517296e-10    8.009640e-09    1.650662e-10    0.000000e+00    0.000000e+00    7.682954e-01    0.000000e+00    
5.963386e-06        3.901404e-06        1.200000e+03        5.066250e+05        1.200000e+03        5.066250e+05        6.542189e-01        1.421296e+00        2.799067e+01        5.314683e-04    1.194360e-05    1.123496e-05    1.639534e-01    1.057007e-06    3.611868e-05    1.844015e-04    5.519443e-06    6.755674e-02    1.800696e-06    1.479715e-06    3.695481e-08    3.149915e-10    1.762795e-11    5.407503e-08    2.474581e-08    4.172975e-09    4.271597e-07    1.478876e-08    7.745167e-06    5.601901e-06    9.738445e-09    2.476914e-09    3.026422e-08    3.520472e-05    1.077203e-09    7.387063e-10    6.885994e-09    1.678050e-10    0.000000e+00    0.000000e+00    7.676557e-01    0.000000e+00    5.697341e-04    7.267119e-06    8.091869e-07    1.874261e-01    3.806494e-08    2.064484e-05    1.120415e-04    6.508410e-06    4.348002e-02    2.188189e-06    8.470490e-07    1.982362e-08    1.576270e-10    1.827746e-11    6.381050e-08    2.830981e-08    4.773984e-09    4.732981e-07    1.638613e-08    1.272983e-05    9.408928e-06    1.635665e-08    5.486779e-09    6.813018e-08    5.535650e-05    1.233270e-09    8.191290e-10    7.387692e-09    1.800309e-10    0.000000e+00    0.000000e+00    7.682956e-01    0.000000e+00    
