
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   8.15345e-08
T[K]                          925.000             925.000
P[atm]                        2.52000             2.52000
rho[kg/m3]                    0.95504             0.95504
MW[kg/kmol]                   28.76614            28.76614
Phi[-]                        0.00000             0.00000
H[J/kg]                       6.685239e+05        6.685239e+05
U[J/kg]                       4.011652e+05        4.011652e+05
Conv.(%) N2                   0.000000e+00        0.000000e+00
Conv.(%) O2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        4.071927e-03        4.071927e-03
Element(kmol/s) O             1.537475e-03        1.537475e-03
Element(kmol/s) N             6.606379e-03        6.606379e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            7.900000e-01        7.900000e-01
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        1.152491e-42
H                             0.000000e+00        2.904867e-33
O2                            2.100000e-01        2.100000e-01
O                             0.000000e+00        5.067019e-25
H2O                           0.000000e+00        6.761188e-43
OH                            0.000000e+00        9.433991e-34
H2O2                          0.000000e+00        1.421664e-42
HO2                           0.000000e+00        7.547193e-33
NO                            0.000000e+00        2.845249e-40
N2O                           0.000000e+00        6.550538e-25
NO2                           0.000000e+00        2.744014e-51
HNO                           0.000000e+00        2.381932e-58
HNO2                          0.000000e+00        4.181178e-113
HONO                          0.000000e+00        6.495816e-112
HONO2                         0.000000e+00        2.832010e-135
N2H2                          0.000000e+00        8.101445e-80
H2NN                          0.000000e+00        1.086506e-75
NH2OH                         0.000000e+00        1.039847e-190
HNOH                          0.000000e+00        2.228101e-74
NH3                           0.000000e+00        7.420486e-76
N2H4                          0.000000e+00        5.287368e-74
N                             0.000000e+00        1.063838e-40
NO3                           0.000000e+00        1.760878e-51
NH                            0.000000e+00        1.003632e-55
NNH                           0.000000e+00        7.130615e-38
NH2                           0.000000e+00        1.162828e-65
H2NO                          0.000000e+00        1.419431e-69
N2H3                          0.000000e+00        4.230346e-77
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            8.112104e-01        8.112104e-01
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        1.644479e-41
H                             0.000000e+00        8.289861e-32
O2                            1.887896e-01        1.887896e-01
O                             0.000000e+00        9.110479e-25
H2O                           0.000000e+00        1.079618e-42
OH                            0.000000e+00        1.595693e-33
H2O2                          0.000000e+00        1.202322e-42
HO2                           0.000000e+00        6.577701e-33
NO                            0.000000e+00        2.727682e-40
N2O                           0.000000e+00        4.281319e-25
NO2                           0.000000e+00        1.715785e-51
HNO                           0.000000e+00        2.209292e-58
HNO2                          0.000000e+00        2.558364e-113
HONO                          0.000000e+00        3.974636e-112
HONO2                         0.000000e+00        1.292865e-135
N2H2                          0.000000e+00        7.760482e-80
H2NN                          0.000000e+00        1.040779e-75
NH2OH                         0.000000e+00        9.056129e-191
HNOH                          0.000000e+00        2.001557e-74
NH3                           0.000000e+00        1.253354e-75
N2H4                          0.000000e+00        4.746214e-74
N                             0.000000e+00        2.184801e-40
NO3                           0.000000e+00        8.169417e-52
NH                            0.000000e+00        1.922785e-55
NNH                           0.000000e+00        7.067750e-38
NH2                           0.000000e+00        2.087629e-65
H2NO                          0.000000e+00        1.275109e-69
N2H3                          0.000000e+00        3.920701e-77
-----------------------------------------------------------------------------
