
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1.12017e-06
T[K]                          800.000             800.000
P[atm]                        5.00000             5.00000
rho[kg/m3]                    2.19744             2.19744
MW[kg/kmol]                   28.85064            28.85064
Phi[-]                        0.00000             0.00000
H[J/kg]                       5.272431e+05        5.272431e+05
U[J/kg]                       2.966912e+05        2.966912e+05
Conv.(%) O2                   0.000000e+00        0.000000e+00
Conv.(%) N2                   0.000000e+00        0.000000e+00
Total species (kmol/s)        6.799516e-04        6.799516e-04
Element(kmol/s) O             2.855797e-04        2.855797e-04
Element(kmol/s) N             1.074324e-03        1.074324e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        5.667478e-42
NH3                           0.000000e+00        1.912633e-66
H2                            0.000000e+00        6.379066e-43
O2                            2.329092e-01        2.329092e-01
H                             0.000000e+00        1.819665e-35
O                             0.000000e+00        6.136852e-26
OH                            0.000000e+00        5.852119e-35
HO2                           0.000000e+00        1.011056e-33
H2O                           0.000000e+00        3.017403e-42
H2O2                          0.000000e+00        7.532961e-42
NH2                           0.000000e+00        9.041233e-57
NH                            0.000000e+00        6.236926e-59
N                             0.000000e+00        3.482577e-43
NNH                           0.000000e+00        4.831315e-40
NH2OH                         0.000000e+00        1.116647e-85
H2NO                          0.000000e+00        1.820449e-62
HNOH                          0.000000e+00        2.769399e-67
HNO                           0.000000e+00        1.433746e-59
HON                           0.000000e+00        3.810988e-97
NO2                           0.000000e+00        3.507493e-42
HONO                          0.000000e+00        9.691168e-83
HNO2                          0.000000e+00        3.399177e-84
NO3                           0.000000e+00        3.113913e-60
HONO2                         0.000000e+00        6.632430e-83
N2O                           0.000000e+00        1.685135e-25
N2H4                          0.000000e+00        1.993590e-64
N2H3                          0.000000e+00        4.868143e-68
N2H2                          0.000000e+00        3.042590e-69
H2NN                          0.000000e+00        2.796407e-69
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.670908e-01        7.670908e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            0.000000e+00        5.449256e-42
NH3                           0.000000e+00        3.240015e-66
H2                            0.000000e+00        9.128975e-42
O2                            2.100000e-01        2.100000e-01
H                             0.000000e+00        5.208185e-34
O                             0.000000e+00        1.106645e-25
OH                            0.000000e+00        9.927523e-35
HO2                           0.000000e+00        8.837670e-34
H2O                           0.000000e+00        4.832307e-42
H2O2                          0.000000e+00        6.389450e-42
NH2                           0.000000e+00        1.627943e-56
NH                            0.000000e+00        1.198397e-58
N                             0.000000e+00        7.173168e-43
NNH                           0.000000e+00        4.802789e-40
NH2OH                         0.000000e+00        9.753552e-86
H2NO                          0.000000e+00        1.640158e-62
HNOH                          0.000000e+00        2.495126e-67
HNO                           0.000000e+00        1.333736e-59
HON                           0.000000e+00        3.545155e-97
NO2                           0.000000e+00        2.199618e-42
HONO                          0.000000e+00        5.947214e-83
HNO2                          0.000000e+00        2.085986e-84
NO3                           0.000000e+00        1.448913e-60
HONO2                         0.000000e+00        3.036721e-83
N2O                           0.000000e+00        1.104611e-25
N2H4                          0.000000e+00        1.794805e-64
N2H3                          0.000000e+00        4.525067e-68
N2H2                          0.000000e+00        2.923099e-69
H2NN                          0.000000e+00        2.686584e-69
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.900000e-01        7.900000e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
