
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   1.52863
Length[m]                     0                   1
T[K]                          1200.000            1200.000
P[atm]                        5.00000             5.00000
V[m3]                         0.65423             0.65419
rho[kg/m3]                    1.42137             1.42137
MW[kg/kmol]                   27.99001            27.99208
Phi[-]                        0.17080             0.17080
H[J/kg]                       4.483025e+05        4.460825e+05
U[J/kg]                       9.184127e+04        8.964759e+04
E[J/kg]                       4.483028e+05        4.460827e+05
Conv.(%) NO                   0.000e+00           3.555e+00
Conv.(%) NH3                  0.000e+00           1.000e+02
Conv.(%) H2                   0.000e+00           9.999e+01
Conv.(%) O2                   0.000e+00           -4.212e-02
Conv.(%) H                    0.000e+00           1.000e+02
Conv.(%) O                    0.000e+00           9.996e+01
Conv.(%) OH                   0.000e+00           9.933e+01
Conv.(%) HO2                  0.000e+00           9.790e+01
Conv.(%) H2O                  0.000e+00           -2.694e-01
Conv.(%) H2O2                 0.000e+00           9.764e+01
Conv.(%) NH2                  0.000e+00           1.000e+02
Conv.(%) NH                   0.000e+00           1.000e+02
Conv.(%) N                    0.000e+00           1.000e+02
Conv.(%) NNH                  0.000e+00           1.000e+02
Conv.(%) NH2OH                0.000e+00           1.000e+02
Conv.(%) H2NO                 0.000e+00           1.000e+02
Conv.(%) HNOH                 0.000e+00           1.000e+02
Conv.(%) HNO                  0.000e+00           1.000e+02
Conv.(%) HON                  0.000e+00           -1.151e-01
Conv.(%) NO2                  0.000e+00           -7.095e+02
Conv.(%) HONO                 0.000e+00           -1.593e+02
Conv.(%) HNO2                 0.000e+00           1.349e+01
Conv.(%) NO3                  0.000e+00           -5.660e+01
Conv.(%) HONO2                0.000e+00           -1.723e+03
Conv.(%) N2O                  0.000e+00           8.690e+01
Conv.(%) N2H4                 0.000e+00           1.000e+02
Conv.(%) N2H3                 0.000e+00           1.000e+02
Conv.(%) N2H2                 0.000e+00           1.000e+02
Conv.(%) H2NN                 0.000e+00           1.000e+02
Conv.(%) N2                   0.000e+00           -5.244e-03
Total species (kmol/m2/s)     3.322037e-02        3.321792e-02
Element(kmol/m2/s) H          4.497125e-03        4.497125e-03
Element(kmol/m2/s) O          1.316468e-02        1.316468e-02
Element(kmol/m2/s) N          5.102332e-02        5.102332e-02
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            5.813251e-04        5.606616e-04
NH3                           8.594484e-06        1.958955e-17
H2                            9.050284e-07        7.159653e-11
O2                            1.874229e-01        1.875019e-01
H                             2.485117e-08        1.052125e-13
O                             6.239014e-06        2.746707e-09
OH                            1.774171e-04        1.185207e-06
HO2                           8.461534e-07        1.779702e-08
H2O                           4.344664e-02        4.356370e-02
H2O2                          8.064141e-08        1.901238e-09
NH2                           1.267869e-06        1.563510e-19
NH                            8.189332e-08        1.187501e-18
N                             2.135697e-09        2.381401e-18
NNH                           5.773369e-11        1.005264e-17
NH2OH                         6.764728e-09        5.569795e-20
H2NO                          1.329059e-08        2.184374e-17
HNOH                          2.230144e-09        9.905021e-19
HNO                           1.588809e-07        6.735391e-12
HON                           1.638307e-08        1.640193e-08
NO2                           3.715679e-06        3.007929e-05
HONO                          1.160537e-07        3.009240e-07
HNO2                          6.050499e-10        5.234100e-10
NO3                           9.758576e-12        1.528211e-11
HONO2                         1.035775e-10        1.887843e-09
N2O                           5.492111e-05        7.196237e-06
N2H4                          8.953994e-11        4.585925e-31
N2H3                          2.758547e-11        5.197870e-28
N2H2                          9.268473e-09        2.385553e-22
H2NN                          1.769849e-11        1.196328e-26
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.682947e-01        7.683350e-01
CO2                           0.000000e+00        0.000000e+00
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            5.422680e-04        5.230315e-04
NH3                           1.412481e-05        3.219731e-17
H2                            1.256535e-05        9.941149e-10
O2                            1.639468e-01        1.640280e-01
H                             6.900640e-07        2.921742e-12
O                             1.091506e-05        4.805679e-09
OH                            2.919919e-04        1.950751e-06
HO2                           7.175617e-07        1.509349e-08
H2O                           6.750330e-02        6.769018e-02
H2O2                          6.635955e-08        1.564639e-09
NH2                           2.214796e-06        2.731442e-19
NH                            1.526603e-07        2.213827e-18
N                             4.267737e-09        4.759075e-18
NNH                           5.568075e-11        9.695895e-18
NH2OH                         5.732510e-09        4.720258e-20
H2NO                          1.161713e-08        1.909474e-17
HNOH                          1.949340e-09        8.658489e-19
HNO                           1.433894e-07        6.079113e-12
HON                           1.478566e-08        1.480377e-08
NO2                           2.260665e-06        1.830197e-05
HONO                          6.909457e-08        1.791736e-07
HNO2                          3.602270e-10        3.116443e-10
NO3                           4.405242e-12        6.899201e-12
HONO2                         4.600925e-11        8.386442e-10
N2O                           3.492701e-05        4.576776e-06
N2H4                          7.820707e-11        4.005791e-31
N2H3                          2.487652e-11        4.687776e-28
N2H2                          8.638850e-09        2.223662e-22
H2NN                          1.649620e-11        1.115142e-26
AR                            0.000000e+00        0.000000e+00
HE                            0.000000e+00        0.000000e+00
N2                            7.676367e-01        7.677338e-01
CO2                           0.000000e+00        0.000000e+00
-----------------------------------------------------------------------------
